,zipcode,density,density_bins
0,37203,1093.9,0
1,90026,6203.7,1
2,92109,2325.7,0
3,20002,3852.6,1
4,70119,3128.9,1
5,94117,8956.9,2
6,70130,2577.6,0
7,10016,39315.3,3
8,11232,9162.6,2
9,10065,32772.8,3
10,11221,22020.5,3
11,98109,4011.1,1
12,60640,10530.6,2
13,11211,15047.6,3
14,90019,6401.0,1
15,11234,4572.6,1
16,10017,20189.9,3
17,11215,11270.5,2
18,10014,22447.1,3
19,70117,1647.8,0
20,02118,9331.3,2
21,10025,48594.3,3
22,90026,6203.7,1
23,11222,9292.3,2
24,70115,3156.0,1
25,78704,1871.5,0
26,98117,3142.1,1
27,91030,2899.5,0
28,97213,2789.2,0
29,37206,1284.5,0
30,80212,1951.5,0
31,78702,1648.1,0
32,60647,8385.0,2
33,98109,4011.1,1
34,11237,19583.0,3
35,90703,2173.1,0
36,97202,2362.8,0
37,91311,440.0,0
38,37210,670.9,0
39,70130,2577.6,0
40,60645,7743.1,2
41,10031,33563.2,3
42,10128,50118.8,3
43,78723,1575.7,0
44,37212,2804.7,0
45,37206,1284.5,0
46,11222,9292.3,2
47,11224,11593.1,2
48,37218,145.5,0
49,90042,5186.6,1
50,78758,1832.3,0
51,78704,1871.5,0
52,37215,523.9,0
53,78741,2285.4,0
54,10016,39315.3,3
55,90036,5761.9,1
56,92109,2325.7,0
57,91748,1211.8,0
58,90038,7127.3,2
59,98122,5250.8,1
60,20005,11575.2,2
61,20003,4553.3,1
62,91006,1938.1,0
63,78704,1871.5,0
64,37013,753.5,0
65,78725,133.1,0
66,70117,1647.8,0
67,90029,10949.3,2
68,10024,26672.3,3
69,78704,1871.5,0
70,90004,7876.3,2
71,95003,263.6,0
72,97217,939.3,0
73,97213,2789.2,0
74,78704,1871.5,0
75,02127,6068.8,1
76,60657,11207.9,2
77,11237,19583.0,3
78,90068,1110.6,0
79,90027,2143.2,0
80,10022,28833.9,3
81,90046,3242.8,1
82,10017,20189.9,3
83,02119,6125.8,1
84,60618,7114.6,1
85,10002,35781.9,3
86,10025,48594.3,3
87,11214,15777.5,3
88,02130,4099.6,1
89,78704,1871.5,0
90,90043,4183.6,1
91,20005,11575.2,2
92,10013,19437.4,3
93,11354,9727.7,2
94,10314,2413.4,0
95,02125,6028.8,1
96,90027,2143.2,0
97,11103,21044.4,3
98,80211,2710.7,0
99,94605,1682.1,0
100,11211,15047.6,3
101,92109,2325.7,0
102,11105,8420.6,2
103,90402,2360.4,0
104,90017,12635.3,2
105,80210,2159.6,0
106,11220,22037.0,3
107,60624,4162.1,1
108,90048,4381.0,1
109,80203,6778.6,1
110,90026,6203.7,1
111,60653,4950.5,1
112,70117,1647.8,0
113,11215,11270.5,2
114,11217,18472.1,3
115,91502,3270.7,1
116,91606,5208.8,1
117,94131,4996.6,1
118,10025,48594.3,3
119,10075,54746.3,3
120,10002,35781.9,3
121,92101,3040.0,1
122,60608,5068.9,1
123,10011,29744.0,3
124,11231,9053.9,2
125,11211,15047.6,3
126,10019,23754.2,3
127,90006,11903.1,2
128,80210,2159.6,0
129,94109,18190.0,3
130,11201,14028.1,3
131,11234,4572.6,1
132,92105,4840.2,1
133,10009,38399.1,3
134,70119,3128.9,1
135,70117,1647.8,0
136,90069,3740.7,1
137,10018,6252.9,1
138,91104,3728.6,1
139,10027,26528.8,3
140,10009,38399.1,3
141,02113,26621.1,3
142,10009,38399.1,3
143,90017,12635.3,2
144,92117,2255.7,0
145,60657,11207.9,2
146,10036,21721.3,3
147,90291,4379.7,1
148,90290,122.6,0
149,11221,22020.5,3
150,94110,11517.2,2
151,97217,939.3,0
152,02116,12631.6,2
153,90405,3967.1,1
154,94605,1682.1,0
155,11373,25573.8,3
156,37138,482.7,0
157,80207,1793.8,0
158,11211,15047.6,3
159,11421,11709.4,2
160,11209,12527.1,2
161,70130,2577.6,0
162,60657,11207.9,2
163,90813,7087.2,1
164,10031,33563.2,3
165,20002,3852.6,1
166,20010,10746.8,2
167,10032,33808.6,3
168,90025,6333.7,1
169,90404,4138.6,1
170,70116,3439.9,1
171,37206,1284.5,0
172,90746,1720.4,0
173,90068,1110.6,0
174,90016,5066.6,1
175,90026,6203.7,1
176,60610,12585.9,2
177,10162,56520.9,3
178,94110,11517.2,2
179,11216,22433.5,3
180,90291,4379.7,1
181,98122,5250.8,1
182,02111,10543.8,2
183,92037,1382.3,0
184,91607,4420.0,1
185,10001,13259.3,2
186,10040,42392.8,3
187,37220,300.1,0
188,92105,4840.2,1
189,11373,25573.8,3
190,90026,6203.7,1
191,60622,8213.0,2
192,11212,21202.2,3
193,90046,3242.8,1
194,11208,10195.4,2
195,92107,3525.3,1
196,94123,8723.6,2
197,60601,11892.3,2
198,92037,1382.3,0
199,10019,23754.2,3
200,78729,1139.7,0
201,90302,5998.7,1
202,91601,5416.4,1
203,78750,772.0,0
204,91748,1211.8,0
205,60660,12796.8,2
206,11219,24025.2,3
207,90046,3242.8,1
208,10035,9207.8,2
209,90292,4091.9,1
210,11249,10861.237371490948,2
211,90012,3711.6,1
212,70112,1618.2,0
213,90034,7191.9,2
214,10024,26672.3,3
215,92104,4531.3,1
216,90802,2342.2,0
217,94116,6523.0,1
218,11103,21044.4,3
219,90068,1110.6,0
220,90291,4379.7,1
221,78704,1871.5,0
222,11369,13674.1,2
223,90026,6203.7,1
224,11201,14028.1,3
225,60612,3447.3,1
226,90045,1420.4,0
227,90068,1110.6,0
228,97202,2362.8,0
229,10031,33563.2,3
230,90058,214.3,0
231,80211,2710.7,0
232,92109,2325.7,0
233,90250,5374.7,1
234,10075,54746.3,3
235,11216,22433.5,3
236,98101,7613.3,2
237,90028,7273.3,2
238,78705,5511.2,1
239,02135,6270.6,1
240,11221,22020.5,3
241,60657,11207.9,2
242,20005,11575.2,2
243,80207,1793.8,0
244,10009,38399.1,3
245,20002,3852.6,1
246,02108,10824.7,2
247,37212,2804.7,0
248,94108,19720.5,3
249,90290,122.6,0
250,98102,6228.4,1
251,11220,22037.0,3
252,37201,2699.4,0
253,80222,1954.9,0
254,90250,5374.7,1
255,20037,8799.9,2
256,90026,6203.7,1
257,78751,2315.7,0
258,20002,3852.6,1
259,11238,17188.6,3
260,94110,11517.2,2
261,94103,7722.6,2
262,11233,19194.0,3
263,91423,2742.5,0
264,37217,791.9,0
265,98109,4011.1,1
266,97211,1662.3,0
267,10027,26528.8,3
268,90015,4285.4,1
269,nan,10861.237371490948,2
270,94103,7722.6,2
271,80203,6778.6,1
272,10035,9207.8,2
273,90012,3711.6,1
274,10303,3234.7,1
275,11211,15047.6,3
276,11232,9162.6,2
277,90813,7087.2,1
278,90027,2143.2,0
279,98109,4011.1,1
280,37212,2804.7,0
281,90024,6239.3,1
282,11222,9292.3,2
283,11432,10923.4,2
284,60642,4316.4,1
285,10001,13259.3,2
